DATE,PM2.5,PM10,CO2,HCHO,TEMPERATURE,HUMIDITY
2023-07-18 12:44:24,003.4,004.7,561,0.063,022.7,062.6
2023-07-18 12:45:24,003.8,005.3,559,0.039,022.8,063.7
2023-07-18 12:46:24,003.2,004.9,579,0.028,022.9,063.5
2023-07-18 12:47:24,003.4,005.0,622,0.036,023.0,065.7
2023-07-18 12:48:23,003.2,004.5,478,0.014,023.0,060.8
2023-07-18 12:49:23,004.1,006.3,466,0.014,023.1,060.5
2023-07-18 12:50:24,003.6,005.8,449,0.013,023.3,059.0
2023-07-18 12:51:24,004.0,005.0,772,0.015,023.4,059.0
2023-07-18 12:52:24,004.4,006.1,642,0.020,023.5,059.9
2023-07-18 12:53:24,004.2,006.6,785,0.022,023.6,055.7
2023-07-18 14:11:48,004.6,006.8,505,0.068,023.1,063.6
2023-07-18 14:12:48,003.7,005.5,494,0.032,023.1,063.6
2023-07-18 14:13:47,003.4,004.5,448,0.024,023.2,063.7
2023-07-18 14:14:47,003.3,004.6,439,0.020,023.2,063.8
2023-07-18 14:15:48,003.1,004.3,438,0.019,023.3,063.7
2023-07-18 14:16:48,002.9,004.1,438,0.016,023.3,063.6
2023-07-18 14:17:48,003.2,004.9,438,0.015,023.4,063.5
2023-07-18 14:18:48,002.9,004.4,747,0.018,023.4,064.1
2023-07-18 14:19:48,003.1,004.2,556,0.016,023.5,064.0
2023-07-18 14:20:47,002.4,003.6,438,0.014,023.6,063.4
2023-07-18 14:21:47,003.0,004.4,443,0.017,023.7,063.9
2023-07-18 14:22:48,002.7,004.0,614,0.020,023.9,059.8
2023-07-18 14:23:49,003.2,004.5,610,0.012,023.9,061.2
2023-07-18 14:24:49,004.3,006.3,457,0.014,024.0,060.2
2023-07-18 14:25:49,003.7,005.6,708,0.018,024.2,060.0
2023-07-18 14:26:49,003.7,005.7,473,0.016,024.3,059.2
2023-07-18 15:02:29,002.3,003.6,448,0.055,023.9,061.5
2023-07-18 15:03:29,001.9,002.6,480,0.039,023.9,065.8
2023-07-18 15:04:30,001.7,002.6,775,0.038,024.0,069.1
2023-07-18 15:05:31,002.0,003.0,641,0.014,024.1,065.1
2023-07-18 15:06:31,001.7,002.1,462,0.010,024.1,063.4
2023-07-18 15:07:31,002.5,003.9,508,0.011,024.2,060.6
2023-07-18 15:08:31,002.4,003.7,607,0.013,024.2,061.2
2023-07-18 15:09:31,002.2,003.3,468,0.011,024.4,060.4
2023-07-18 16:23:57,003.7,005.7,693,0.049,023.2,061.2
2023-07-18 16:24:57,002.8,003.9,524,0.026,023.2,061.6
2023-07-18 16:25:57,003.4,005.2,463,0.020,023.2,061.9
2023-07-18 16:26:56,002.7,004.5,420,0.017,023.2,062.0
2023-07-18 16:27:56,002.7,003.4,533,0.015,023.3,062.7
